nkpd1,nkpd2,name,type
1112,7026,Главен секретар,management
1213,7008,Ръководител вътрешен одит - директор,management
1219,7001,Директор,management
1219,6021,Началник отдел,management
1219,6019,Ръководител сектор,management
2422,7013,Главен счетоводител,management
2422,7022,Държавен вътрешен одитор,experts
2422,6016,Главен вътрешен одитор,experts
2422,6017,Старши вътрешен одитор,experts
2422,5015,Младши вътрешен одитор,experts
2422,6021,Стажант - одитор,experts
2411,6012,Финансов контрольор,experts
2422,7068,Служител по сигурността на информацията,experts
2514,6001,Програмист,experts
2522,6001,Системен администратор,experts
2422,6041,Главен експерт,experts
2422,6046,Старши експерт,experts
2422,5040,Младши експерт,experts
3343,3001,Административен секретар на колегия,experts
4131,2003,Стенограф,general
4110,2005,Технически сътрудник,general
3359,3026,Главен специалист,general
3359,3022,Старши специалист,general
3359,3021,Младши специалист,general
8322,2002,Шофьор,technical
4321,3022,Домакин,technical
7119,2016,"Работник, поддръжка сгради",technical
9621,0001,Куриер,technical
9112,0004,Чистач,technical
,,Изпълнител,technical
2611,7022,Главен юрисконсулт,experts
1223,7008,Програмен ръководител,experts
3343,3006,Програмен координатор,experts
2619,5011,Експерт с юридическо образование,experts
,,Eксперт с икономическо или друго подходящо образование,experts
2422,7065,Служител по сигурността на информацията,experts
2619,5012,Съдебен администратор,management
1112,7046,Началник кабинет ,management
1219,7024,Началник административна служба,management
2619,5013,Съдебен помощник,experts
4110,2001,Завеждащ служба,experts
4120,2001,Секретар на колегия във ВКС и ВАС,experts
3343,3004,Съдебен секретар,experts
4415,2003,Съдебен деловодител,experts
3314,3002,Съдебен статистик,experts
4415,3002,Съдебен архивар,experts
4419,2004,Призовкар,experts
2611,7021,Юрисконсулт,experts
2422,6056,"Експерт
 /от 15.07.2020 г. и в Апелативен съд-София/",experts
2432,6001,Връзки с обществеността,experts
3341,3008,Човешки ресурси,general
3313,3001,Счетоводител,general
1344,3004,Управител сгради,general
3359,3009,Специалист,general
4311,2003,Касиер,technical
,,"Технически изпълнител - (огняр, пазач и др.)",technical
1345,6013,Ръководител учебен център,management
3434,2001,Главен готвач,technical
5120,2003,Помощник-готвач,technical
9412,0003,"Работник, кухня",technical
5132,2001,Барман,technical
5131,2004,Сервитьор,technical
2264,5001,Рехабилитатор,technical
5162,1001,Камериер,technical
2422,6108,Длъжностно лице по защита на данните,experts
2421,5022,"Експерт, обществени поръчки",experts
2422,6004,"Експерт, програми и проекти",experts
1431,3015,Управител почивна база,management
9510,0003,Пазач,technical
2619,5014,Прокурорски помощник,experts
